Author,Rating,Review
Christopher Allison Chris,Rated 1 out of 5 stars,"Supercell has to be one of the worst gaming developers ever. Their games are always glitchy and when you attempt interaction with their support staff, you realize they care about no one. Not their customer or even about their games, and game stability. They are money hungry and completely incompetent. Support staff knowingly lies to you. That is if you can get them to even respond. Worst Game providers period. "
Alex Low,Rated 3 out of 5 stars,Game is good but you need to spend money if you had play quite a bit on it
Brenden Jennings,Rated 1 out of 5 stars,"My account got hacked (changed my email so I nolonger have access) and the only support they offer is an automated chat which inevitably ends every conversation with ""Unfortunately, we cannot proceed withyour recovery as we were unable to verifythat you are the original owner of this ac-count.Ive had this game for over 10 years and I understand it's just a game at the end of the day but I put alot of time and effort into this and the fact there's no help is very frustrating. It's been over a week now with no hope of recovering my account. I have lots of information to prove that this is indeed my account including clanmates who can confirm my situation as well as all of the account information."
tangledgaming,Rated 1 out of 5 stars,Freak(cant use non pg version) supercell ruined clash royale
Ayan Islam,Rated 1 out of 5 stars,"WORST SUPPORT IN THE WORLD. 1. Never responds in less than 12 hours2. The respond you get is automated, meaning that they don’t actually read your request 3. You are blocked from support if they lock your account. This may seem normal, but they say to unlock your account, YOU MUST contact support. Here is my situation: I just want to change my email as I don’t have access to the current one, so they say ‘contact support.’ When I do, it says one of your game accounts are locked, completely automated with utter disregard of my request. Supercell ID ≠ Game Accounts. And they say, “We checked your game accounts connected from the SuperCell ID you contacted from,” And then they ask “Contact form the supercell ID you are talking about so we can prove it is you.” WHAT IN THE ACTUAL HELL. If they read my request, they would know I said “the supercell account I am contacting from.” They are the worst support in the world, and the company just wants money, and does not CARE about their play base."
Aaron Bradley,Rated 1 out of 5 stars,WORST COMPANY EVER!!! TAKES ADVANTAGE OF YOU BY TAKING YOUR MONEY WITHOUT CONSENT AND YHRN AS USUALLY DOESN’T THINK THEY NEEX CUSTOMER SERVICE!!! RuN DONT WALM AWAY FROM THIS COMPANT
K H,Rated 1 out of 5 stars,I'd give a 0 if I could. NO support whatsoever. You create an account and spend money and then if you have any issues you're just out of luck. Waste of money and time. Had I known i would never have started an account. How are they still able to provide games and take money from anyway. They should be out of business.
Ahmed Abbkar,Rated 1 out of 5 stars,Gotta be one of the worst supports ever. They always get back to you late. And almost never reply they also don’t have an live chat. They reply via email with a bot because these shit of supercell support people just want money and don’t give an actual shit about players
Miguel Cordeiro,Rated 1 out of 5 stars,Create something like a mechanism that can ban daryl and kit on the same team i lost 10 trophys because of that team
Tom,Rated 1 out of 5 stars,I have sent multiple Emails to support for help with my account deletion which was two years ago and still haven’t gotten further than an SI response 
Tobi,Rated 1 out of 5 stars,"Mehrmal durch ein Bug das falsche Evolution Pack in Clash Royal gekauft, Support hilft nicht und sagt zu mir  ""I am sorry to hear that you got the wrong pack. It is not unusual for mistakes like this to happen, even if the pack you got is good.Unfortunately at this moment, purchase swaps are not a supported function in the store.The Mega Knight pack is a great one, however, if you wish to purchase the Evolution pack, you will have to purchase it again.""Hier wird man nicht geholfen, sondern nur abgezogen."
Ian Wooller,Rated 1 out of 5 stars,I asked supercell for my ID and as per usual NOTHING happens. My advice is to sack the bunch of them and get people in who ACTUALLY do something. Now they REFUSE to provide me with the Supercell ID's for the remaining 9 accounts saying I need to provide proof of purchase. I have NEVER purchased anything from you and the email addresses can be cross referenced by me as I would be the only one who can log into the supporting ones.
Benjamin Spitzer,Rated 5 out of 5 stars,"Good, the support helped with all my problems "
Landon Daniel,Rated 1 out of 5 stars,"Their automated support system is nothing great. If you have anything related to getting an account back it can’t do anything to help you at all. It’ll say detail me how you lost your account, after doing so it says sorry there is not enough for me to verify the account is yours. I told them what the first name of the account was and other names I had with village. I told them how I lost it and I even had screenshots of my base. Not once did I ever get an actual person to help it was all automated. The automated support just says try logging in with google play or apple, even after I have pointed out I physically can not sign in with google play because I changed from android to apple, and the account had never been linked to an Apple ID. Thanks for nothing supercell"
van Damme,Rated 1 out of 5 stars,"Dear Supercell Support Team,I hope this message finds you well. I’m writing to request assistance with recovering my daughter Maybel’s Brawl Stars account.Recently, we had to change our Google Family account, resulting in the blocking of our children’s email addresses by Google since they are minors. We successfully converted four of our children’s accounts to new email addresses with Brawl Stars’ support, but we encountered an issue with Maybel’s account.Two days ago, I reached out through in-game support and was assisted by Sebastian. He blocked Maybel’s account to facilitate the email change, but when I attempted to upload a purchase receipt, I lost connection and the game restarted. Since the account was already blocked, I couldn’t log back in to continue the chat.Now, I’m in a situation where my in-game support attempts often lead to automated responses that can’t assist me, and emails to Supercell support haven’t resolved the issue either.I can provide proof of Maybel’s account, including her Supercell ID, account name, trophies, and PayPal purchase receipts.Could you please assist me in changing Maybel’s email address ? resolving this would be greatly appreciated.- player id: LoudMaybelle- name: ayla- Trophees: 15539 (current state)- #JUJYQC9GU- many braw passes are bought through PaypalI tried many times through ingame support and email. They dont help me."
Anonymous,Rated 1 out of 5 stars,"I’ve been struggling with account recovery for years now, and the customer support from Supercell has been nothing short of frustrating. Despite following every step in their recovery process and reaching out multiple times, my issue has not been resolved. My account, which was linked to both Gmail and Facebook before Supercell ID, was banned, and I have no idea why.I’ve tried to contact support through the in-game help feature, but nothing has worked. It’s incredibly disheartening to feel ignored after investing so much time and effort into my account. The lack of meaningful communication and assistance is absolutely disappointing.Supercell needs to do better. Their support is slow, unresponsive, and doesn’t seem to prioritize issues like mine, despite being a long-time player. I feel like, unless you're willing to spend money, they don't care about you at all. They only seem interested in taking your money, not in providing proper customer support."
Archie Jupe,Rated 1 out of 5 stars,Firstly they delete any bad reviews on the App Store and only reserve the good reviews for the front page the games they produce are PURELY FOR YOUR MONEY and not for your entertainment they will set you up with hard counters on games like clash royale as they have an AI bot which is made to read counters most of the AI players know how to beat you constantly and easily games like clash of clans which used to be free to play are slowly becoming p2w as they are increasing the price and time of upgrading ur towers walls everything and then they spam you with in game purchase “deals” for money to buy instant upgrades for walls and buildings they keep adding higher town hall levels but don’t add enough features for them to be any worth achieving and town hall 17 seems to be slightly weaker than 16 which is honestly ridiculous 
Alexandre Cournoyer,Rated 1 out of 5 stars,This company does not care about you only your money.  I have had problems with my in game name and after a week it is not resolved.  A bot keeps replying the same thing over and over yet my name falls is ok.  You can never talk to a actual person.  They made it so you will never have actual support.  Supercell is a horse shit company they have lost me forever.
Yillo Yillo,Rated 1 out of 5 stars,"The support is just a joke team. I have been trying to recover my account for a week. They were offline for five days initially.  After I proved my ownership, they sent a verification code to my new email.  Following verification, they were supposed to email account recovery instructions, but they haven't. They are unable to send the email. Joke support "
SteveMacPhotography,Rated 1 out of 5 stars,"Scam, Avoid avoid avoid."
Juni Queen Ruby,Rated 1 out of 5 stars,"Worst customer service ever, they do not understand how to read, they are very stupid and rude."
Ercan Senol,Rated 1 out of 5 stars,account got hacked support cant verify that im the owner when i send them proof of my bank statements for in game purchase very helpful support
Ryan McKay,Rated 1 out of 5 stars,The support was massively unhelpful and immediately closed my request with no further info
mitchell hebden,Rated 1 out of 5 stars,"The supercell support was absolutely no help while trying to recover an account I had, they asked questions they could that could easily help them find the account But refused to even give me the email to the account to go into the account once again. The bot was no help and was annoying and don't forget Nami and Luzzi, you were no help to me."
Darren Flowers,Rated 1 out of 5 stars,"I loved Clash of Clans. Had an account since day one. Set it up with my company email address, because hey, who needs personal emails when you’re in a virtual war, right? Fast forward, company folds, email address gone. Fine, I just need to change it. Easy peasy, right? WRONG.As soon as I tried to change my email, my account got flagged as “suspicious.” What? Did I accidentally donate too many troops to my clan? Did my barbarians start acting shady? No idea.So, I contacted customer support. I told them, ""Hey, I still have access to my old email, and you can send stuff there."" They came back with: ""It seems like there’s more than one user on your account.""More than one user?! I play on my iPhone, but I prefer the iPad for the bigger screen. Plus, I sometimes sign into Google Play because…well, that’s what a mobile game is supposed to let you do, right? Apparently, NOPE.They then asked me to list all the hardware I use to play the game. So, I sent them a detailed list of devices, including serial numbers, make, model, color (okay, maybe not the color). Still NOPE.Then, I thought, ""Alright, I'll go above and beyond."" I sent them a list of every single purchase I’ve made in the game—card details, bank statement, the works. Surely this is enough to prove I’m the rightful king of my own village, right? WRONG AGAIN.I’ve played every day for years, been a dedicated clan member, bought every gold pass for the last four years (you’re welcome, Supercell), and spent more money than I care to admit on skins. And yet, still NOPE.At this point, I’m convinced Supercell is just messing with me. Seriously, how much proof do I need to show to get my email changed? Supercell, you’ve earned the crown for most frustrating customer support in history. 👑"
Sharon Mclaughlin,Rated 1 out of 5 stars,"Over £300 took from my bank account.There was no payment details on the app.i tried to get the money back and they told me I couldn't . The full site is dodgy, don't ever play there games or down load them. Don't trust them as you can't even get an honest reply even with prof that it wasn't authorised "
Neťák,Rated 1 out of 5 stars,Worst company money hungry don't care about people
Lorna Langdale,Rated 1 out of 5 stars,U got rid of Knock out 5 vs 5 I am just asking if you could please bring it back or put it on friendly battles for us to still enjoy because it is optional if you want to play it and I miss it a lot 
Antonia,Rated 1 out of 5 stars,"I can't login to my account, and when I reached out to the customer support, they just ignored me and didn't really help. I wrote 2 emails a week apart and still nothing. Shame."
Michael Clark,Rated 1 out of 5 stars,"Ah the company that treats it's customers like dirt with zero respect. A close friend of mine has been playing this game since 2016 and last week had his account suspended due to 'suspicious activity'. They won't give any details as to what this is but have told him the account will be permanently deleted. He has done NOTHING wrong! Don't worry I told him this is a $2b company; they'll have an appeals process. How stupid am I - the only feedback he's got so far is that they're working on a complaints process but don't have one yet. No response from the CEO mailbox either. So to all you payers out there - a word of caution - this bunch of clowns are judge, jury and executioner with no interest in the facts. Play at your peril"
Midhat Syed,Rated 1 out of 5 stars,"Bought brawl passes to gift from my son’s account to his brothers and cousins. Nowhere did it say that children can’t send or receive brawl passes as gifts. When I asked for a refund, they insisted my son would get a negative in game balance, which I would need to accept. He ended up with -4999 gems to refund 6 game passes. Supercell is a sham."
Shane peters,Rated 1 out of 5 stars,"My account got banned for account phishing when all I was trying to do was get another account back that I made previously. If you do not remember every single detail to an account created 5 plus years ago do not try to get it back your current account will just get perma banned. I was active and spent money, but I could not even appeal the ban 7 years later. I just get a stupid bot the spews the same shitty line."
Paul Bunford,Rated 1 out of 5 stars,"Absolutely disgusting company and games. Make cartoon characters and bright videos to lure people in. Make the games easy at first, then riddle them with bots so you get beat, hoping you spend money. They make billions and dont care."
your mum you hoe,Rated 1 out of 5 stars,Terrible experience got told I can have a refund from lady called Alice she asked given the order number wich I sent. 5 hours later had a respons but it was a guy instead who then refused to refund. They keep closing tickets no respond calling alot of emotional distress 
eric,Rated 1 out of 5 stars,If i could rate it a zero i would! The amount of help i get from their side is so small that i would get more help by asking Elon Musk! and the Games they produse is very good except Brawl stars. And how they have built the game now is just rarely bad. Get help supercell!
xXCrazy KillerXx,Rated 1 out of 5 stars,"This company's support system is the worst. My account has been hacked and when i asked for help, i got rejected. They banned me from brawl stars for ABSOLUTELY nothing. I cant play any of their games now."
Xforce.delbrand,Rated 1 out of 5 stars,the prices are really way too high for virtual crap. 
Нургиса Адилбек,Rated 5 out of 5 stars,Hi botghggiirfhjjh still keen to do the same thing on the same day as the same thing on the floor and the same thing 
Rasmus Egelund Hoff,Rated 1 out of 5 stars,"i lost acces my brawlstars account. i have tried to contact the support in the game but the bot keeps telling me to write recovery codes, keep in mind that i did not turn the feature on and that a scammer has those codes. they tell me that they will not do anything if i dont have the codes but its stupid since the account should just be returned to the first and therefore right owner"
Morrison,Rated 1 out of 5 stars,Dreadful customer support. Contacted them on their ‘parents’ email. Received an almost immediate response saying they were too busy to look at my problem.
Linus Klee,Rated 1 out of 5 stars,"Supercell’s games are fun at first, but they quickly start pushing in-game purchases to make real progress. While not all their games are outright pay-to-win, spending money definitely gives a big advantage, especially in competitive games like Clash of Clans and Brawl Stars. Plus, it’s worth noting that they’re majority-owned by Tencent, which makes you wonder how much of the focus is on profits over fair gameplay. It feels like they exploit younger players who get sucked into spending without even realizing it."
Kendyl,Rated 1 out of 5 stars,Literally has the worst clash of clans support out to date. I provide everything there is to provide in order to get my account recovered and yet it’s not enough. F*** Supercell and everything they stand for. Go to hell !
Joell,Rated 1 out of 5 stars,Terrible customer service. Been a loyal player since clash of clans launched basically and they logged me out one day for no reason and decided to stop sending me verification codes to get back into my account. Spent lots of money on this game just to lose both my clash Royale and clans account. What a joke They don’t even care to help me or others in this situation just look at reddit
George Konkel,Rated 1 out of 5 stars,"I am so mentally hurt from the game Clash Royal that I truly wish ill intent. I hope Supercell dies a broke and worthless company for the trauma I have endured trying to enjoy their game. And when they die, I hope someone chirps them and dances on their grave like the jerk offs that play that game. "
Adel,Rated 1 out of 5 stars,"At first, let me to introduce my self. I’m a high rank player who own multiple accounts, also I’m leader of level 29 clan. This game is getting worse and worse in the time because they don’t have required structure to handle 500 million players. They are adding new rules that make you vulnerable, every second. Don’t wonder if they block you and simply ignore you even though you didn’t do anything wrong.They care only about money and you are nothing to them except of money factory, even as you see they don’t respond you here.Left this game as soon as possible if you have respect to your personality, time and hard earn money. This game is a suck."
Some Adeli,Rated 1 out of 5 stars,"It’s the most dangerous than you think for your life and happiness. It’s not an ordinary game and will occupied your soul, even sucks your money. Don’t fall in the traps."
Hayley Thomson-de Boor,Rated 1 out of 5 stars,I think they've made it impossible for me to retrieve my account (by not sending the verification code to my email) so that I'll be forced to open a new account and spend more money. I can access the account if I knew my playertag  - but who knows what their playertag is?!
Yudi Paiva,Rated 1 out of 5 stars,"Supercell, I can't STAND the randoms ANYMORE, I'm going to type about one of your Brawl Stars games, honestly I HAVE NEGATIVE TROPHIES because of the Random crap, you don't do the work of improving the lobby, I'm fed up, you guys losing players because of this, HORRIBLE lobby ."
Zavier Monas,Rated 1 out of 5 stars,"I am a new player to clash of clans. I bought the gold pass because I figured the extra resources would help and $7 isn't that big of a deal. I did the challenges and daily tasks to progress along and made it all the way to the end of the pass. Keep in mind me being a new player, I don't know the limit of ""magic items"" by heart. I claimed my paid book of hero's and then tried to claim my free book of hero's because you get both at the end of the pass. I autonomously clicked claim on the first one and then I did the same on the second yet I made a mistake. I didn't realize it converts it into gems after you claim one. I just clicked ""claim anyways"" without thinking because again. In my mind it was just the claim button and I didn't know that pop up was a thing so i fast tapped. It gave me the 50 gems (which I didn't spend). Contacted support literally right after it happened. To spare an even longer version. They told me to ""just buy another one in the shop offers!"" like i was supposed to be excited to support them and give them more money. Then when I said I worked hard for it, instead of realizing ""wow this person did put time and effort into our game let's fix this"" they instead tell me to ""think about how it financially affects them""...why would I care how you giving me back a free item i EARNED affects your BILLION dollar company? What kind of horrible insult is that. Also I told them to take the gems back. I wasn't asking to keep the gems and get the book. I just wanted my free item i played and worked for back and they can pull gems from accounts. I know they can. They just didn't want too. They wanted me to really want that book badly enough that ""hey maybe we can milk another $14.99 out of him and make him buy another book through another shop offer"". No. I refunded through my bank to get my money back from the gold pass. I deleted my clash of clans account and will never play that game again and will never support supercell again. Enjoy your dying games because your inability to help your player bases and only care about money. Greedy company. "
Mepze,Rated 1 out of 5 stars,"I had two different agents completely dismiss the fact that one of the users in my clan bullied other members and asked for personal information, harrased one of my female clan mates forcing them into a relationship they didn't want to be in. they left death threats to others and their own life before leaving and even after offering screenshots of this behavior they completely dismissed me without giving any reasoning or even asking who the user was or for their user id very unprofessional! took over an hour to get the initial response and even after that they switched agents out of no where, though this one was faster to reply they gave no advice or show of concern for the serious topic at hand."
Liam Brandstrader,Rated 1 out of 5 stars,No response to me asking for help trying to recover an account that I have access to I justt want to change the email. Absolutely unbelievable 
Bosco Meyer,Rated 5 out of 5 stars,Got patched in with two people. My problem was fixed within two days
Anthony Warwick,Rated 1 out of 5 stars,"I'm amazed people here are even getting replies. I've been trying to contact supercell for nearly 6 months now with not a single reply to any issue. No way I'll be making any purchases because you will never get it even looked at if there's an issue let alone resolved. Customer service is beyond pathetic, it's simply non existent. The company is just on autopilot making money off its players that helped build it with no-one actually working there. "
mark Brown,Rated 5 out of 5 stars,"Usually, Supercell has the worst support in the world, creating more problems than they solve, and I’ve seen riddles that were less cryptic then some of there responses. It often feels like they’re just copying and pasting responses, rushing to end chats without really caring about the user. But recently, I had the best support experience. Dzemil P was an amazing and kind support agent who actually helped me recover my account, even though I didn’t explain my issue very well. I talked to three other agents before him, answered all their questions accurately, and they couldn’t do anything—one even made things worse by tying my account to a random spare email I had. Dzemil, on the other hand, not only got my account back but ensured it was tied to my main, secure email. This makes me much more confident about making purchases on my clash of clans account in the future. I was convinced I was talking to AI the whole time with other agents, but Dzemil was seriously great—funny, kind, and he knew exactly what he was doing. He 100% deserves a raise because, out of all the support agents I had he was the best by far."
Brian Cummings,Rated 1 out of 5 stars,I’ll rejoice the day this company closes its doors
Aniket Paigude,Rated 1 out of 5 stars,"I am extremely frustrated with the constant network issues in the game. I frequently encounter the ""lost connection with server"" message, which has caused me to lose numerous battles and significantly impacted my gaming experience. As a dedicated player, this is unacceptable. Please address and fix these network problems immediately."
Víctor De Nadal,Rated 1 out of 5 stars,"A hacker took mi Supercell ID on June 24, changed email and turned on Account protection with his sussy number. Then I contacted Supercell SO MUCH times and they replied ""verify with your number (the sussy one)"" or with ""we cannot help...""Some weeks later...The hacker sold the account at August 30.Now on 8 August I contacted Supercell again but with toons of proof about the compromised Supercell ID and that the hacker sold the account and... They replied: ""Account sharing/selling is against the rules, bla bla bla...."" Then I went to brawlify and saw that my account was banned. I successfully proof that the account belong to me but they didn't return the account, it was terminated.I played and worked hard on Brawl Stars, COC, Clash Royale, Boom beach. Playing all them since 2017 and Squad Busters since it's launch date. Also I spend like 200€ during this time. Also I had so much LIMITED skins and so much valuable stuff, and 400 gems and all brawlers on Brawl Stars.ALL my classmates plays Brawl Stars... I'm gone in my school...Can I sue Supercell for being as silly as it was in my case?Brawl Stars tag: #8LVVOLQUUthis is also attached to the hacked/banned Supercell ID"
Veggie “VeggieFarmer” Farmer,Rated 1 out of 5 stars,"complete and utter dogsh-t, i've done riddles less cryptic than their responses. i'll say my account is bugged and something isn't happening and it'll explain what it is, like i f-cking know how it works f-cking fix my account"
Бавуу Бийрчин,Rated 1 out of 5 stars,"customer service is really bad, they refuse to help and ignore me. and transfers my case to the bot. how do they even think about bot can handle my issue?"
Britney Goodwin,Rated 1 out of 5 stars,This company is fraudulent. You can never retrieve your old accounts so whatever money you spent on them is gone. That's fraud. The government gives you no justice on how to report them. Also this form has told me to pick a date of experience. I have many! There is not only one. 
MR ROY CARTHY,Rated 1 out of 5 stars,"SuperCell has a CEO who doesn't like or want to respond to emails sent with a support department full of Ostriches. I made an accidental error, asked for help & the Ostriches bury their head's, say they can't help g don't want to interfer in clan affairs ,BUT even after explaining everything to them the heads remain buried"
Peter Freeman,Rated 1 out of 5 stars,"Been playing Clash of Clans 10 years. Someone with an email AC that looked like it was Supercell scammed me, sold my account and now SC no help at all in getting my AC back. Unless you are paying them they don’t give a monkeys!"
Iglott,Rated 1 out of 5 stars,"I had an awful experience with supercell. I played several of their games for years, mainly brawl stars in which I had 30k trophies. My email account got hacked and they changed all my personal data including my phone number. I have since the 27th of June trying very hard to get it back, sent proofs of payments since 2020, the phones I used to play and they ignore all my attempts, either in the in game support and email. by email they close every attempt I make of contact or ignore me and the in-game support they either put me talking with bots or close my attempts of communication with a real person. This has been a horrible experience that I never thought I would find myself in to think I play this game almost every day for 4 years, paid them several times for different things and they IGNORE every attempt to recover my account that any person could very easily confirm its mine. Insane how a company with this size and community absolutely trashes it's fans and paying customers. "
andrew hogan,Rated 1 out of 5 stars,N/A
ElLoboAleman,Rated 1 out of 5 stars,Unbalanced new pay to win brawlers way to op
Hypocratic,Rated 2 out of 5 stars,"I enjoy the Brawl Stars, but found out that Super Cell has faked their rating for the game. The overall rating went from 3.0 stars to 4.3 stars overnight, which is nearly impossible as 100s of thousands of reviews were already made. Any negative reviews have been hidden away; that just leaves a crappy taste in my mouth."
zeezee,Rated 1 out of 5 stars,"Scum company, copyright content creator that talking bad about their game, bullying content creator, bad costumer service."
Kevin Gaitan,Rated 1 out of 5 stars,Every single game they put out focuses on making the most money possible with in game currencies and micro-transactions they never want to make the game good only profitable
l,Rated 1 out of 5 stars,Worse support ever. Want to recover an old account? They will ban ur current account. Everyone working at supercell support is mentally ill. Don’t get me wrong I like the games but the problem is support. I would rather they work on their support than constantly updating their game. I will never spend on supercell ever again
Marko Majstorovic,Rated 1 out of 5 stars,"Trash fkn company. I got my gmail hacked by doing some stupid survey. I lost EA, Steam,Epic games, riot games and supercell accounts. Even social media. I managed to get ALL my accounts back  except for supercell. They ask me for code that other person has now and that other person changed my codes without me even getting them on my email. And this trash company says its impossible to change the code once its set by someone. So some russian kid managed to change and hack my code but a company cant control their own game ? They always close the chat in middle of me typing. They say hello and then i am explaining my issue and they just close the chat and transfer me to a bot.... I hope some day they change their support team so i can get my accounts back for 5 of their games that i spent lifetime playing on."
Hassan Bhatti,Rated 2 out of 5 stars,Their games are exciting and I'm praising of it and love to play them.
Angry customer,Rated 1 out of 5 stars,"SUPERCELL’S VIEW ON ACCOUNT THEFT.Don’t care! They spend a fortune on the release of their new game , expensive actors and all the trimmings. No funds for the account theft department ? Just as long as people are spending money on theirs games , they’re not going to worry about the on going problems in the company. They have an army of staff, but no one dedicated to that area , that doesn’t bring in revenue ."
WubWay,Rated 1 out of 5 stars,"Supercell sits at the pinnacle of all the bad things a mobile game studio can do.All of their games are stuffed full with a ridiculous amount of greedy predatory monetization and all their pvp games are horribly broken and unbalanced pay to win messes. Their excuse for “not pay2win” is that “you can unlock everything free” except that would realistically take years of playing for hours every day to gamble of opening lootboxes for a chance to maybe get what you need.On top of all that they charge absurd amounts of money on worthless digital garbage, some low effort trash skins even costing up to 20$ in a mobile game!!!How is this company allowed to exist?"
민서율,Rated 1 out of 5 stars,"The matchmaking is unfair in brawl stars. My team is bad and they are people who are way below mymatchmaking while the other team is obviously much better with way higher ranks. I've lost so many games because of unfair matchmaking and it makes it impossible to push any brawler as you go above rank 25 as your randoms are almost always not competant enough.I've also noticed that very rarely, my team is much stronger than the other.Please fix matchmaking to enhance everyone's experience in brawl stars as unfair matchmaking just ruins the game."
J,Rated 1 out of 5 stars,First I’ve heard of them is $200 of fraudulent charges on my company card.
A K,Rated 1 out of 5 stars,"Absolutly bad support, spent much money, the locked the account, inpossible to talk with ingame support bot."
Karina Andersen,Rated 1 out of 5 stars,I bought a farmpass and now i didnt get the rewards for the 600 points even though i passed the mark. I wrote super cell support and i got a message back that the are sorry but they cant help me…… what?Do not put money in this game…….
Alberto Silvestre,Rated 1 out of 5 stars,"Lack of transparency on their web shop, that's not wrote anywhere but the website offers are different from the in-game offers, even if they're objectively the same. So when there's bonuses after an offer in the app but you bought that offer in the online store, you won't be able to obtain those bonuses!! There's no transparency to the customer and probably that's not even legal"
